Date,Close,High,Low,Open,Volume,Sentiment
2021-07-27,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,-1
2021-07-28,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,1
2021-07-29,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,1
2021-07-30,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,-1
2021-08-02,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,1
2021-08-03,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,-1
2021-08-04,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,1
2021-08-05,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,-1
2021-08-06,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,-1
2021-08-09,16258.25,16320.75,16179.0498046875,16281.349609375,240500,-1
2021-08-10,16280.099609375,16359.25,16202.25,16274.7998046875,288000,1
2021-08-11,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,1
2021-08-12,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,1
2021-08-13,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,1
2021-08-16,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,-1
2021-08-17,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,-1
2021-08-18,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,1
2021-08-20,16450.5,16509.55078125,16376.0498046875,16382.5,350800,-1
2021-08-23,16496.44921875,16592.5,16395.69921875,16592.25,275600,1
2021-08-24,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,-1
2021-08-25,16634.650390625,16712.44921875,16617.5,16654.0,265900,1
2021-08-26,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,-1
2021-08-27,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,1
2021-08-30,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,1
2021-08-31,17132.19921875,17153.5,16915.849609375,16947.5,464400,1
2021-09-01,17076.25,17225.75,17055.05078125,17185.599609375,301900,1
2021-09-02,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,1
2021-09-03,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,1
2021-09-06,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,1
2021-09-07,17362.099609375,17436.5,17287.0,17401.55078125,243400,1
2021-09-08,17353.5,17383.400390625,17254.19921875,17375.75,252700,-1
2021-09-09,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,-1
2021-09-13,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,-1
2021-09-14,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,1
2021-09-15,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,1
2021-09-16,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,-1
2021-09-17,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,1
2021-09-20,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,-1
2021-09-21,17562.0,17578.349609375,17326.099609375,17450.5,363600,1
2021-09-22,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,1
2021-09-23,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,-1
2021-09-24,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,1
2021-09-27,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,-1
2021-09-28,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,1
2021-09-29,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,-1
2021-09-30,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,-1
2021-10-01,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,-1
2021-10-04,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,1
2021-10-05,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,-1
2021-10-06,17646.0,17884.599609375,17613.150390625,17861.5,395800,-1
2021-10-07,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,-1
